mCA	gender	observed m lower	observed m higher	observed c lower	observed c higher	expected m lower	expected m higher	expected c lower	expected c higher
21q+	F	-2.00E-05	3.50E-05	-2.00E-03	1.35E-03	0.00E+00	3.80E-05	-2.00E-03	1.50E-04
22q+	M	-8.00E-06	4.50E-05	-0.00185	0.0005	2.00E-06	3.00E-05	-1.40E-03	-2.00E-04
2p-	F	0.00E+00	4.25E-05	-0.0018	4.00E-04	5.00E-06	3.70E-05	-1.60E-03	-2.00E-04
5q-	F	0.00E+00	4.00E-05	-1.85E-03	4.00E-04	5.00E-06	4.00E-05	-1.70E-03	0.00E+00
10q-	F	-3.50E-05	3.50E-05	-1.00E-03	2.60E-03	2.00E-05	5.80E-05	-2.50E-03	-7.50E-04
11q-	M	1.00E-05	7.50E-05	-3.50E-03	0.00E+00	1.00E-05	4.75E-05	-2.25E-03	-2.50E-04
1p=	F	-1.00E-05	8.00E-05	-3.00E-03	1.50E-03	2.00E-05	8.00E-05	-3.50E-03	-5.00E-04
1q=	M	-1.00E-05	7.00E-05	-3.25E-03	1.50E-03	2.00E-05	7.50E-05	-3.25E-03	-5.00E-04
1q=	F	-2.00E-05	5.00E-05	-2.25E-03	1.75E-03	1.00E-05	7.00E-05	-3.00E-03	-3.00E-04
2q=	M	-2.00E-05	3.00E-05	-1.25E-03	1.25E-03	0.00E+00	3.00E-05	-1.30E-03	1.00E-04
2q=	F	-1.50E-05	2.50E-05	-1.20E-03	1.00E-03	0.00E+00	3.00E-05	-1.40E-03	0.00E+00
3p=	F	-1.50E-05	2.00E-05	-8.00E-04	1.00E-03	0.00E+00	2.20E-05	-1.00E-03	5.00E-05
5q=	F	-1.50E-05	2.00E-05	-7.50E-04	9.50E-04	0.00E+00	2.20E-05	-1.00E-03	5.00E-05
6p=	M	-1.00E-05	4.00E-05	-1.85E-03	1.00E-03	5.00E-06	4.00E-05	-2.00E-03	0.00E+00
6p=	F	-1.00E-05	3.00E-05	-1.25E-03	1.00E-03	4.00E-06	4.00E-05	-1.75E-03	-1.00E-04
7q=	M	-1.00E-05	1.75E-05	-8.00E-04	8.00E-04	-3.00E-06	1.80E-05	-8.50E-04	2.00E-04
7q=	F	-1.00E-05	2.00E-05	-8.50E-04	6.00E-04	0.00E+00	2.20E-05	-1.00E-03	5.00E-05
8q=	F	-1.25E-05	1.40E-05	-6.00E-04	9.00E-04	-2.00E-06	1.80E-05	-8.50E-04	2.00E-04
11p=	M	-2.00E-05	6.50E-05	-2.25E-03	1.75E-03	1.50E-05	7.00E-05	-3.25E-03	-2.50E-04
11p=	F	-9.00E-06	5.00E-05	-2.20E-03	1.25E-03	1.50E-05	6.00E-05	-3.00E-03	-3.00E-04
12q=	F	-1.50E-05	2.80E-05	-1.40E-03	1.10E-03	3.00E-06	3.20E-05	-1.45E-03	0.00E+00
13q=	M	1.00E-05	9.00E-05	-4.00E-03	5.00E-04	1.50E-05	8.00E-05	-3.25E-03	-3.00E-04
14q=	F	1.00E-05	9.00E-05	-4.00E-03	1.00E-03	2.50E-05	8.00E-05	-3.50E-03	-5.00E-04
15q=	F	-5.00E-06	6.00E-05	-2.50E-03	1.25E-03	2.50E-05	6.50E-05	-3.20E-03	-7.50E-04
16p=	M	-1.00E-05	3.50E-05	-1.70E-03	1.00E-03	1.00E-05	4.20E-05	-2.00E-03	-2.00E-04
16p=	F	-1.00E-05	3.80E-05	-1.50E-03	1.00E-03	5.00E-06	4.00E-05	-1.75E-03	1.00E-04
16q=	M	-1.00E-05	2.80E-05	-1.25E-03	8.50E-04	0.00E+00	3.20E-05	-1.50E-03	0.00E+00
17p=	F	-1.60E-05	1.60E-05	-7.00E-04	8.50E-04	-3.00E-06	2.00E-05	-8.00E-04	1.00E-04
17q=	M	-1.50E-05	4.00E-05	-2.00E-03	1.50E-03	1.00E-05	5.50E-05	-2.25E-03	-2.00E-04
17q=	F	-2.00E-05	4.00E-05	-1.60E-03	1.60E-03	1.00E-05	4.50E-05	-2.10E-03	-1.00E-04
19p=	M	-1.20E-05	2.80E-05	-1.50E-03	1.00E-03	2.00E-06	2.60E-05	-1.20E-03	0.00E+00
19p=	F	-1.50E-05	2.60E-05	-1.25E-03	1.00E-03	2.00E-06	3.00E-05	-1.25E-03	-1.00E-04
20q=	M	-2.20E-05	2.50E-05	-1.20E-03	1.20E-03	0.00E+00	2.70E-05	-1.25E-03	1.00E-04
21q=	F	-1.80E-05	1.50E-05	-7.00E-04	1.20E-03	0.00E+00	2.60E-05	-1.25E-03	0.00E+00
