mCA	sex	expected_gradient	observed_gradient	gradient_difference	gradient_relative_difference	lower_CI_difference	upper_CI_difference	p_value
10q-	female	3.64E-05	-7.01E-08	3.65E-05	-1.001924346	2.16E-05	4.98E-05	5.67E-07
11p=	female	3.82E-05	2.41E-05	1.41E-05	-0.36855643	-2.09E-06	3.00E-05	0.046574727
12q=	female	1.65E-05	6.97E-06	9.51E-06	-0.576899696	-1.42E-06	1.95E-05	0.039536614
14q=	female	5.13E-05	4.90E-05	2.38E-06	-0.046448087	-1.86E-05	2.18E-05	0.414533459
15q=	female	4.42E-05	2.89E-05	1.54E-05	-0.347451869	-7.07E-07	2.90E-05	0.029366444
16p=	female	2.09E-05	1.38E-05	7.09E-06	-0.34012494	-4.55E-06	1.77E-05	0.12790242
17p=	female	7.88E-06	9.94E-07	6.88E-06	-0.873823455	-3.64E-07	1.35E-05	0.034185846
17q=	female	2.71E-05	1.10E-05	1.61E-05	-0.593495935	1.97E-06	2.95E-05	0.013108376
19p=	female	1.57E-05	6.69E-06	9.06E-06	-0.575082718	-4.55E-07	1.77E-05	0.029533926
1p=	female	5.11E-05	3.38E-05	1.73E-05	-0.338557994	-4.55E-06	3.73E-05	0.053826402
1q=	female	3.87E-05	1.89E-05	1.99E-05	-0.51319193	2.73E-06	3.36E-05	0.009720444
21q+	female	1.68E-05	1.04E-05	6.41E-06	-0.380804954	-8.79E-06	2.05E-05	0.207033023
21q=	female	1.30E-05	-1.33E-06	1.43E-05	-1.102873031	4.89E-06	2.27E-05	0.000995289
2p-	female	2.06E-05	2.02E-05	3.98E-07	-0.019326258	-9.87E-06	9.87E-06	0.470247057
2q=	female	1.64E-05	5.52E-06	1.09E-05	-0.663614164	4.55E-07	2.05E-05	0.016802782
3p=	female	1.08E-05	2.39E-06	8.36E-06	-0.777384501	3.74E-07	1.53E-05	0.02119703
5q-	female	2.06E-05	2.03E-05	3.61E-07	-0.017475728	-1.01E-05	1.01E-05	0.466824293
5q=	female	1.04E-05	2.39E-06	7.97E-06	-0.768858801	3.74E-07	1.53E-05	0.023868726
6p=	female	2.11E-05	8.44E-06	1.27E-05	-0.600113982	1.52E-06	2.27E-05	0.015292591
7q=	female	1.04E-05	5.27E-06	5.13E-06	-0.493451464	-2.26E-06	1.13E-05	0.083028484
8q=	female	7.94E-06	8.83E-07	7.06E-06	-0.888818778	-3.08E-07	1.39E-05	0.026014512
11p=	male	4.07E-05	1.87E-05	2.20E-05	-0.541133005	9.09E-07	4.09E-05	0.016664334
11q-	male	2.92E-05	4.09E-05	1.17E-05	0.401477409	-3.28E-06	2.56E-05	0.062812212
13q=	male	4.29E-05	4.91E-05	6.24E-06	0.145594765	-1.37E-05	2.51E-05	0.276205796
16p=	male	2.51E-05	1.33E-05	1.19E-05	-0.472173497	-1.58E-06	2.36E-05	0.038091425
16q=	male	1.74E-05	9.11E-06	8.33E-06	-0.477481618	-2.97E-06	1.91E-05	0.072479516
17q=	male	3.06E-05	1.46E-05	1.59E-05	-0.520655738	7.07E-07	2.90E-05	0.02068186
19p=	male	1.43E-05	8.20E-06	6.06E-06	-0.425119416	-4.44E-06	1.58E-05	0.12620628
1q=	male	4.48E-05	2.96E-05	1.52E-05	-0.339297696	-4.29E-06	3.35E-05	0.067269458
20q=	male	1.31E-05	3.62E-06	9.47E-06	-0.723599633	-1.48E-06	1.93E-05	0.048649361
22q+	male	1.80E-05	2.10E-05	3.00E-06	0.166963689	-8.03E-06	1.34E-05	0.30753108
2q=	male	1.38E-05	5.05E-06	8.78E-06	-0.634782609	-2.53E-06	1.87E-05	0.057227385
6p=	male	2.09E-05	1.65E-05	4.47E-06	-0.213601533	-8.59E-06	1.67E-05	0.24802527
