,CLL,,,,MPN,,,,MDS,,,,Any blood cancer,cancer,,
,"Ncase=199,","Ncontrol=375,954",,,"Ncase=138,","Ncontrol=375,893",,,"Ncase=70,","Ncontrol=375,818",,,"Ncase=1,383,","Ncontrol=377,192",,
mCA,P,OR,95% CI lower,95% CI upper,P,OR,95% CI lower,95% CI upper,P,OR,95% CI lower,95% CI upper,P,OR,95% CI lower,95% CI upper
1+,1,0,0,151,1,0,0,250,0.0091,116,2.76,760,0.00081,18,3.52,57.8
1p-,1,0,0,441,1,0,0,666,1,0,0,989,0.0027,29.6,3.21,132
1q-,1,0,0,327,1,0,0,597,1,0,0,921,0.092,11,0.26,71.5
1p=,0.24,3.59,0.09,20.4,0.00087,16.9,3.41,50.8,0.098,9.89,0.25,57.5,0.00079,4.27,1.83,8.53
1q=,1,0,0,17.1,1,0,0,25.6,1,0,0,47.8,0.66,1.35,0.16,4.91
2p-,0.053,18.8,0.47,110,1,0,0,117,1,0,0,204,0.31,2.76,0.07,15.9
2q-,1,0,0,220,1,0,0,365,1,0,0,556,1,0,0,30.5
2p=,1,0,0,80.9,1,0,0,126,1,0,0,225,1,0,0,11.8
2q=,1,0,0,65.8,1,0,0,98.4,1,0,0,194,1,0,0,9.35
3+,1.90E-05,63.6,12.6,200,1,0,0,127,1,0,0,196,1.10E-07,20.9,8.02,45.9
3p-,1,0,0,377,1,0,0,614,1,0,0,940,1,0,0,53.6
3p=,1,0,0,63.7,1,0,0,99.4,1,0,0,180,1,0,0,9.61
3q=,1,0,0,89.6,1,0,0,141,1,0,0,247,0.26,3.4,0.08,19.8
4q-,0.059,16.8,0.42,98.2,1,0,0,105,0.026,39.2,0.96,235,0.0086,7.47,1.5,22.8
4p=,1,0,0,239,1,0,0,295,1,0,0,618,0.12,8.01,0.19,49.1
4q=,1,0,0,44.8,1,0,0,77.3,6.20E-06,94.3,18.5,299,0.00039,8.62,2.73,20.9
5+,1,0,0,93.6,1,0,0,157,1,0,0,265,0.24,3.72,0.09,21.8
5q-,0.054,18.2,0.45,107,0.034,29.5,0.73,172,0.00015,122,14,482,3.10E-06,16.5,5.84,37.6
5q=,1,0,0,80.3,1,0,0,118,1,0,0,213,0.29,2.96,0.07,17.1
6+,1,0,0,514,1,0,0,670,1,0,0,1640,1,0,0,71.7
6q-,1,0,0,168,1,0,0,294,1,0,0,495,0.15,6.45,0.16,39
6p=,1,0,0,39.3,1,0,0,57.8,1,0,0,108,0.15,2.97,0.36,11
6q=,1,0,0,124,1,0,0,193,1,0,0,316,1,0,0,18.2
7p-,1,0,0,282,1,0,0,499,1,0,0,1280,1,0,0,46.8
7q-,1,0,0,87.1,1,0,0,154,1,0,0,237,0.00028,13.7,3.6,37.4
7p=,1,0,0,124,1,0,0,195,1,0,0,313,1,0,0,17.9
7q=,1,0,0,94.7,0.027,37.8,0.93,221,6.80E-07,203,39,664,0.00027,13.9,3.66,37.9
8+,0.046,21.7,0.54,127,1,0,0,129,0.018,58.9,1.43,356,1.30E-06,19.4,6.84,45
8p-,0.016,64.9,1.56,406,1,0,0,415,1,0,0,847,0.1,9.91,0.24,61.4
8p=,1,0,0,297,1,0,0,473,1,0,0,1160,1,0,0,42
8q=,1,0,0,93,1,0,0,138,1,0,0,238,1,0,0,13.6
