mCA,GRID,lower s,upper s,lower mu,upper mu
DNMT3A_0_3,50,0.11,0.2,5.00E-10,2.00E-08
DNMT3A_3_10,50,0.05,0.5,2.00E-12,1.00E-07
DNMT3A_10_30,50,0.09,0.5,2.00E-11,2.00E-09
TET2_0_3,50,0.1,0.5,9.00E-11,1.00E-08
TET2_3_10,50,0.05,0.5,2.00E-12,1.00E-07
TET2_10_30,50,0.1,0.5,3.00E-11,3.00E-09
ETV6_0_3,50,0.02,0.5,2.00E-12,3.00E-07
ETV6_3_10,50,0.02,0.5,2.00E-12,9.00E-07
DLEU2_0_3,50,0.1,0.2,7.00E-10,3.00E-08
DLEU2_3_10,50,0.115,0.18,4.00E-10,9.00E-09
DLEU2_10_30,50,0.115,0.2,1.00E-10,6.00E-09
DLEU2_30_100,50,0.11,0.17,2.00E-10,3.00E-09
14q32.33_0_3,50,0.08,0.5,2.00E-11,7.00E-08
14q32.33_30_100,50,0.05,0.5,1.00E-11,6.00E-09
ASXL1_0_3,50,0.08,0.5,4.00E-12,1.00E-08
ASXL1_10_30,50,0.12,0.17,7.00E-10,6.00E-09
ASXL1_30_100,50,0.02,0.5,4.00E-13,9.00E-07
L3MBTL1_3_10,50,0.05,0.5,4.00E-12,1.00E-08
L3MBTL1_10_30,50,0.13,0.16,2.50E-09,9.00E-09
L3MBTL1_30_100,50,0.02,0.5,1.00E-12,1.00E-06
CHEK2_0_3,50,0.09,0.5,7.00E-12,4.00E-08
CHEK2_3_10,50,0.08,0.5,6.00E-12,1.00E-07
CHEK2_10_30,50,0.02,0.5,4.00E-12,7.00E-09
22q11.22_0_3,50,0.08,0.5,3.00E-11,1.00E-07
22q11.22_10_30,50,0.05,0.5,5.00E-12,1.00E-08
