mCA,GRID,lower s,upper s,lower mu,upper mu
1p+,50,0.115,0.24,2.00E-11,2.00E-09
1q+,50,0.11,0.5,7.00E-12,1.00E-09
2p+,50,0.1,0.5,1.00E-12,4.00E-09
3+,50,0.08,0.34,9.00E-12,8.00E-10
3p+,50,0.1,0.5,2.00E-12,7.00E-09
3q+,50,0.115,0.5,7.00E-12,8.00E-10
5+,50,0.06,0.16,5.00E-11,3.00E-08
5p+,50,0.085,0.145,2.00E-10,1.50E-08
5q+,50,0.115,0.5,3.00E-12,3.00E-09
6p+,50,0.11,0.5,4.00E-12,4.00E-09
6q+,50,0.095,0.5,1.00E-12,8.00E-08
8+,50,0.13,0.24,1.00E-10,1.00E-09
9+,50,0.12,0.28,3.00E-11,5.00E-10
9p+,50,0.085,0.5,1.00E-12,1.50E-09
9q+,50,0.11,0.5,8.00E-12,7.00E-10
12+,50,0.155,0.19,6.00E-10,2.00E-09
12q+,50,0.1,0.5,8.00E-12,9.00E-10
14q+,50,0.125,0.165,6.00E-10,3.00E-09
15q+,50,0.115,0.14,1.30E-09,5.00E-09
17q+,50,0.1,0.5,3.00E-12,3.00E-09
18+,50,0.1175,0.2,8.00E-11,1.00E-09
18q+,50,0.12,0.5,2.00E-12,5.00E-10
21q+,50,0.1,0.13,1.00E-09,6.00E-09
22q+,50,0.1,0.125,2.00E-09,1.20E-08
1p-,50,0.105,0.5,2.50E-11,3.00E-09
1q-,50,0.12,0.5,4.00E-11,3.00E-09
2p-,50,0.1,0.2,3.00E-10,8.00E-09
2q-,50,0.135,0.5,9.00E-11,2.00E-09
3p-,50,0.125,0.5,7.00E-11,1.00E-09
3q-,50,0.115,0.5,3.00E-11,2.50E-09
4q-,50,0.135,0.5,3.00E-10,3.30E-09
5q-,50,0.125,0.2,2.00E-10,3.00E-09
6p-,50,0.12,0.5,3.00E-11,2.00E-09
6q-,50,0.115,0.5,5.00E-11,2.00E-09
7p-,50,0.12,0.5,5.00E-11,1.00E-09
7q-,50,0.125,0.26,1.00E-10,3.00E-09
8p-,50,0.1,0.5,3.00E-11,6.00E-10
8q-,50,0.11,0.5,1.50E-11,4.00E-09
9q-,50,0.12,0.5,6.00E-11,2.00E-09
10q-,50,0.11,0.14,1.00E-09,6.00E-09
11p-,50,0.115,0.5,6.00E-11,8.00E-09
11q-,50,0.115,0.148,9.00E-10,6.00E-09
12p-,50,0.1,0.5,2.00E-11,7.00E-09
12q-,50,0.1,0.5,4.00E-11,3.50E-09
13q-,50,0.13,0.2,9.00E-10,9.00E-09
14q-,50,0.1,0.36,1.30E-10,4.00E-09
15q-,50,0.05,0.5,9.00E-12,5.00E-08
16p-,50,0.1,0.24,5.00E-10,8.00E-09
16q-,50,0.1,0.5,6.00E-11,8.00E-10
17p-,50,0.1,0.5,1.00E-11,5.00E-10
17q-,50,0.115,0.5,1.30E-10,1.00E-08
18p-,50,0.08,0.5,8.00E-12,1.00E-08
18q-,50,0.1,0.5,2.00E-11,2.00E-09
20-,50,0.065,0.5,1.00E-11,5.00E-08
20q-,50,0.1325,0.165,3.30E-09,9.30E-09
21q-,50,0.1,0.5,8.00E-12,1.00E-09
22q-,50,0.1,0.5,1.30E-10,4.00E-09
1=,50,0.1,0.17,9.00E-11,1.30E-09
1p=,50,0.1175,0.1325,3.00E-09,7.00E-09
1q=,50,0.1075,0.1275,3.30E-09,7.30E-09
2=,50,0.05,0.5,1.00E-11,5.00E-08
2p=,50,0.105,0.14,4.00E-10,3.00E-09
2q=,50,0.1,0.125,1.00E-09,5.00E-09
3p=,50,0.095,0.125,7.00E-10,4.00E-09
3q=,50,0.095,0.13,6.00E-10,4.00E-09
4=,50,0.095,0.5,2.00E-11,8.00E-10
4p=,50,0.105,0.25,6.00E-11,1.30E-09
4q=,50,0.135,0.3,1.00E-10,2.00E-09
5p=,50,0.085,0.5,1.00E-11,1.30E-09
5q=,50,0.11,0.15,3.00E-10,2.00E-09
6p=,50,0.105,0.13,1.30E-09,6.00E-09
6q=,50,0.095,0.145,2.00E-10,4.00E-09
7p=,50,0.115,0.3,8.00E-11,1.30E-09
7q=,50,0.1,0.14,6.00E-10,3.00E-09
8p=,50,0.1,0.5,5.00E-11,1.00E-09
8q=,50,0.105,0.145,4.00E-10,3.00E-09
9=,50,0.08,0.135,8.00E-11,4.00E-09
9p=,50,0.13,0.18,1.00E-09,5.00E-09
9q=,50,0.115,0.145,1.30E-09,5.00E-09
