mCA,GRID,lower s,upper s,lower mu,upper mu,,
1q+,50,0.11,0.5,7.00E-12,2.00E-09,,
2p+,50,0.1,0.2,1.00E-12,1.00E-08,,
3+,50,0.1,0.2,2.00E-10,3.00E-09,,
3q+,50,0.11,0.25,4.00E-11,4.00E-09,,
4+,50,0.08,0.5,1.00E-12,3.00E-09,,
5p+,50,0.08,0.5,1.00E-12,3.00E-09,,
5q+,50,0.05,0.5,3.00E-12,6.00E-08,,
6p+,50,0.05,0.5,1.00E-12,1.00E-06,,
8+,50,0.12,0.25,4.00E-11,2.00E-09,,
8q+,50,0.1,0.22,3.00E-11,2.00E-09,,
9+,50,0.1,0.5,5.00E-12,1.00E-09,,
9q+,50,0.1,0.5,1.00E-12,2.00E-09,,
12+,50,0.135,0.2,8.00E-10,4.00E-09,,
12q+,50,0.1,0.5,5.00E-12,3.00E-09,,
13q+,50,0.1,0.5,1.00E-12,1.00E-09,,
14q+,50,0.08,0.5,5.00E-12,2.00E-09,,
15q+,50,0.1,0.5,8.00E-12,1.00E-09,,
17+,50,0.1,0.2,3.00E-10,4.00E-09,,
17q+,50,0.1,0.5,3.00E-12,3.00E-09,,
18+,50,0.13,0.18,4.00E-10,2.00E-09,,
18q+,50,0.08,0.35,5.00E-12,3.00E-09,,
19+,50,0.12,0.26,3.00E-11,1.00E-09,,
21q+,50,0.105,0.3,1.00E-11,2.00E-09,,
22q+,50,0.1,0.18,7.00E-11,3.00E-09,,
1p-,50,0.105,0.5,2.50E-11,1.30E-09,,
1q-,50,0.12,0.5,4.00E-11,3.00E-09,,
2p-,50,0.1,0.5,1.00E-10,8.00E-09,,
2q-,50,0.08,0.5,3.00E-11,5.00E-09,,
3p-,50,0.1,0.5,3.00E-11,2.00E-09,,
3q-,50,0.1,0.5,1.00E-12,1.00E-08,,
4p-,50,0.1,0.5,1.00E-12,1.00E-09,,
4q-,50,0.1,0.5,8.00E-11,2.00E-09,,
5p-,50,0.1,0.5,1.00E-11,4.00E-09,,
5q-,50,0.1,0.2,1.00E-10,5.00E-09,,
6p-,50,0.05,0.5,8.00E-12,3.00E-09,,
6q-,50,0.11,0.5,7.00E-11,3.00E-09,,
7p-,50,0.08,0.5,5.00E-12,1.00E-09,,
7q-,50,0.125,0.5,1.00E-10,2.00E-09,,
8p-,50,0.1,0.5,6.00E-11,6.00E-10,,
8q-,50,0.08,0.5,3.00E-12,1.00E-08,,
9q-,50,0.1,0.5,6.00E-12,2.00E-09,,
10q-,50,0.11,0.5,3.00E-11,3.00E-09,,
11p-,50,0.115,0.5,2.00E-11,3.00E-09,,
11q-,50,0.1,0.5,1.00E-10,2.00E-09,,
12p-,50,0.1,0.5,2.00E-11,7.00E-09,,
12q-,50,0.1,0.5,4.00E-11,3.50E-09,,
13q-,50,0.14,0.26,1.00E-09,6.00E-09,,
14q-,50,0.1,0.5,3.00E-10,2.20E-09,,
15q-,50,0.1,0.5,2.00E-11,3.00E-09,,
16p-,50,0.1,0.5,1.00E-10,1.00E-08,,
16q-,50,0.1,0.5,2.00E-11,2.00E-09,,
17p-,50,0.1,0.18,8.00E-10,5.00E-09,,
17q-,50,0.1,0.5,1.00E-11,5.00E-09,,
18p-,50,0.08,0.5,2.00E-11,2.00E-09,,
18q-,50,0.1,0.5,2.00E-11,2.00E-09,,
20q-,50,0.12,0.28,1.00E-10,6.00E-09,,
21q-,50,0.1,0.5,3.00E-11,3.00E-09,,
22q-,50,0.1,0.5,2.00E-10,5.00E-09,,
1p=,50,0.08,0.5,1.00E-10,2.00E-09,,
1q=,50,0.075,0.2,3.00E-11,3.00E-09,,
2q=,50,0.08,0.5,3.00E-12,6.00E-10,,
3p=,50,0.05,0.5,5.00E-12,3.00E-09,,
3q=,50,0.08,0.5,5.00E-12,1.00E-09,,
4q=,50,0.05,0.5,1.00E-11,5.00E-09,,
6p=,50,0.105,0.5,1.00E-11,2.00E-09,,
6q=,50,0.07,0.5,1.00E-11,5.00E-09,,
7q=,50,0.1,0.5,1.00E-11,5.00E-10,,
9p=,50,0.13,0.5,8.00E-11,1.00E-09,,
9q=,50,0.095,0.5,2.00E-11,2.00E-09,,
10q=,50,0.05,0.5,6.00E-12,4.00E-09,,
11p=,50,0.09,0.5,2.00E-11,2.30E-09,,
11q=,50,0.1,0.3,6.00E-11,2.00E-09,,
12q=,50,0.1,0.5,1.00E-11,5.00E-10,,
13q=,50,0.1,0.5,8.00E-11,2.00E-09,,
14q=,50,0.11,0.2,8.00E-11,2.00E-09,,
15q=,50,0.09,0.5,2.00E-11,2.00E-09,,
16p=,50,0.08,0.5,2.00E-11,2.00E-09,,
16q=,50,0.09,0.5,1.00E-11,1.00E-09,,
17p=,50,0.095,0.5,5.00E-12,1.00E-09,,
17q=,50,0.1,0.5,1.00E-11,2.00E-09,,
18q=,50,0.05,0.5,1.00E-12,3.00E-09,,
19p=,50,0.1,0.5,3.00E-12,2.00E-09,,
19q=,50,0.1,0.5,3.00E-11,2.00E-09,,
20q=,50,0.08,0.5,8.00E-12,3.00E-09,,
22q=,50,0.085,0.17,7.00E-11,4.00E-09,,
