mCA type,actual fitness,capped or not,lower s,upper s,lower mu,upper mu
+,0.07,not capped,0.01,0.5,1.00E-12,1.00E-07
+,0.08,not capped,0.055,0.17,2.00E-11,6.00E-08
+,0.09,not capped,0.065,0.12,3.00E-10,5.00E-08
+,0.1,not capped,0.08,0.115,1.30E-09,2.30E-08
+,0.11,not capped,0.09,0.125,2.20E-09,1.20E-08
+,0.12,not capped,0.1,0.1325,2.30E-09,9.00E-09
+,0.13,not capped,0.118,0.142,2.20E-09,7.00E-09
+,0.14,not capped,0.12,0.16,2.00E-09,8.00E-09
+,0.15,not capped,0.135,0.165,2.00E-09,7.00E-09
+,0.16,not capped,0.135,0.18,2.80E-09,7.00E-09
+,0.17,not capped,0.14,0.185,2.80E-09,7.00E-09
+,0.18,not capped,0.14,0.2,3.00E-09,8.00E-09
+,0.19,not capped,0.165,0.22,2.80E-09,7.30E-09
+,0.2,not capped,0.16,0.25,2.00E-09,7.00E-09
+,0.21,not capped,0.17,0.24,2.00E-09,8.00E-09
+,0.22,not capped,0.18,0.26,2.00E-09,7.00E-09
+,0.23,not capped,0.19,0.3,2.00E-09,7.00E-09
+,0.24,not capped,0.19,0.34,2.20E-09,9.00E-09
+,0.25,not capped,0.19,0.35,2.00E-09,9.00E-09
+,0.26,not capped,0.15,0.5,2.00E-09,8.00E-09
+,0.27,not capped,0.15,0.5,2.00E-09,7.00E-09
+,0.28,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.29,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.3,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.31,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.32,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.33,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.34,not capped,0.15,0.5,2.30E-09,7.00E-09
+,0.35,not capped,0.15,0.5,2.30E-09,7.00E-09
-,0.09,not capped,0.055,0.5,5.00E-12,1.00E-06
-,0.1,not capped,0.075,0.12,1.00E-09,7.00E-08
-,0.11,not capped,0.09,0.125,1.80E-09,2.00E-08
-,0.12,not capped,0.105,0.13,2.00E-09,1.10E-08
-,0.13,not capped,0.12,0.145,1.00E-09,8.00E-09
-,0.14,not capped,0.125,0.16,2.00E-09,9.00E-09
-,0.15,not capped,0.135,0.165,1.80E-09,8.00E-09
-,0.16,not capped,0.13,0.18,1.00E-09,8.00E-09
-,0.17,not capped,0.14,0.19,2.00E-09,8.00E-09
-,0.18,not capped,0.155,0.195,2.80E-09,9.00E-09
-,0.19,not capped,0.165,0.23,2.00E-09,9.00E-09
-,0.2,not capped,0.17,0.3,2.00E-09,8.00E-09
-,0.21,not capped,0.17,0.24,2.00E-09,9.00E-09
-,0.22,not capped,0.18,0.3,2.00E-09,9.00E-09
-,0.23,not capped,0.185,0.35,1.30E-09,9.00E-09
-,0.24,not capped,0.18,0.5,2.00E-09,1.00E-08
-,0.25,not capped,0.18,0.5,2.00E-09,1.00E-08
-,0.26,not capped,0.15,0.5,1.30E-09,8.00E-09
-,0.27,not capped,0.15,0.5,1.30E-09,8.00E-09
-,0.28,not capped,0.15,0.5,2.00E-09,8.00E-09
-,0.29,not capped,0.15,0.5,2.00E-09,8.00E-09
